x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
5.92390e+02 -8.88889e-03 5.92390e+02 -5.00000e-02 5.92390e+02 -3.00000e-02 5.92390e+02 -2.00000e-02 5.92390e+02 -1.00000e-02
5.93156e+02 -8.88889e-03 5.93156e+02 -5.00000e-02 5.93156e+02 -3.00000e-02 5.93156e+02 -2.00000e-02 5.93156e+02 -1.00000e-02
5.93922e+02 -1.00000e-02 5.93922e+02 -5.00000e-02 5.93922e+02 -3.00000e-02 5.93922e+02 -2.00000e-02 5.93922e+02 -1.00000e-02
5.94687e+02 -6.66667e-03 5.94687e+02 -5.00000e-02 5.94687e+02 -3.00000e-02 5.94687e+02 -2.00000e-02 5.94687e+02 -1.00000e-02
5.95453e+02 -6.66667e-03 5.95453e+02 -5.00000e-02 5.95453e+02 -3.00000e-02 5.95453e+02 -2.00000e-02 5.95453e+02 -1.00000e-02
5.96218e+02 -6.66667e-03 5.96218e+02 -5.00000e-02 5.96218e+02 -3.00000e-02 5.96218e+02 -2.00000e-02 5.96218e+02 -1.00000e-02
5.96984e+02 -2.22222e-03 5.96984e+02 -5.00000e-02 5.96984e+02 -3.00000e-02 5.96984e+02 -2.00000e-02 5.96984e+02 -1.00000e-02
5.97749e+02 -5.55556e-03 5.97749e+02 -5.00000e-02 5.97749e+02 -3.00000e-02 5.97749e+02 -2.00000e-02 5.97749e+02 -1.00000e-02
5.98514e+02 -2.22222e-03 5.98514e+02 -5.00000e-02 5.98514e+02 -3.00000e-02 5.98514e+02 -2.00000e-02 5.98514e+02 -1.00000e-02
5.99279e+02 -2.22222e-03 5.99279e+02 -5.00000e-02 5.99279e+02 -3.00000e-02 5.99279e+02 -2.00000e-02 5.99279e+02 -1.00000e-02
6.00044e+02 -3.33333e-03 6.00044e+02 -5.00000e-02 6.00044e+02 -3.00000e-02 6.00044e+02 -2.00000e-02 6.00044e+02 -1.00000e-02
6.00809e+02 -5.55556e-03 6.00809e+02 -5.00000e-02 6.00809e+02 -3.00000e-02 6.00809e+02 -2.00000e-02 6.00809e+02 -1.00000e-02
6.01574e+02 -1.00000e-02 6.01574e+02 -5.00000e-02 6.01574e+02 -3.00000e-02 6.01574e+02 -2.00000e-02 6.01574e+02 -1.00000e-02
6.02339e+02 -1.00000e-02 6.02339e+02 -5.00000e-02 6.02339e+02 -3.00000e-02 6.02339e+02 -2.00000e-02 6.02339e+02 -1.00000e-02
6.03104e+02 -1.00000e-02 6.03104e+02 -5.00000e-02 6.03104e+02 -3.00000e-02 6.03104e+02 -2.00000e-02 6.03104e+02 -8.88889e-03
6.03868e+02 -1.00000e-02 6.03868e+02 -5.00000e-02 6.03868e+02 -3.00000e-02 6.03868e+02 -2.00000e-02 6.03868e+02 -1.00000e-02
6.04633e+02 -1.00000e-02 6.04633e+02 -5.00000e-02 6.04633e+02 -3.00000e-02 6.04633e+02 -2.00000e-02 6.04633e+02 -1.00000e-02
6.05397e+02 -1.00000e-02 6.05397e+02 -5.00000e-02 6.05397e+02 -3.00000e-02 6.05397e+02 -2.00000e-02 6.05397e+02 -1.00000e-02
6.06162e+02 -1.00000e-02 6.06162e+02 -5.00000e-02 6.06162e+02 -3.00000e-02 6.06162e+02 -2.00000e-02 6.06162e+02 -1.00000e-02
6.06926e+02 -1.00000e-02 6.06926e+02 -5.00000e-02 6.06926e+02 -3.00000e-02 6.06926e+02 -2.00000e-02 6.06926e+02 -1.00000e-02
6.07690e+02 -1.00000e-02 6.07690e+02 -5.00000e-02 6.07690e+02 -3.00000e-02 6.07690e+02 -2.00000e-02 6.07690e+02 -1.00000e-02
6.08455e+02 -1.00000e-02 6.08455e+02 -5.00000e-02 6.08455e+02 -3.00000e-02 6.08455e+02 -2.00000e-02 6.08455e+02 -1.00000e-02
6.09219e+02 -1.00000e-02 6.09219e+02 -5.00000e-02 6.09219e+02 -3.00000e-02 6.09219e+02 -2.00000e-02 6.09219e+02 -1.00000e-02
6.09983e+02 -1.00000e-02 6.09983e+02 -5.00000e-02 6.09983e+02 -3.00000e-02 6.09983e+02 -2.00000e-02 6.09983e+02 -1.00000e-02
6.10747e+02 -1.00000e-02 6.10747e+02 -5.00000e-02 6.10747e+02 -3.00000e-02 6.10747e+02 -2.00000e-02 6.10747e+02 -1.00000e-02
6.11511e+02 -8.88889e-03 6.11511e+02 -5.00000e-02 6.11511e+02 -3.00000e-02 6.11511e+02 -2.00000e-02 6.11511e+02 -1.00000e-02
6.12274e+02 -1.00000e-02 6.12274e+02 -5.00000e-02 6.12274e+02 -3.00000e-02 6.12274e+02 -2.00000e-02 6.12274e+02 -8.88889e-03
6.13038e+02 -1.00000e-02 6.13038e+02 -5.00000e-02 6.13038e+02 -3.00000e-02 6.13038e+02 -2.00000e-02 6.13038e+02 -1.00000e-02
6.13802e+02 -1.00000e-02 6.13802e+02 -5.00000e-02 6.13802e+02 -3.00000e-02 6.13802e+02 -2.00000e-02 6.13802e+02 -1.00000e-02
6.14565e+02 -1.00000e-02 6.14565e+02 -5.00000e-02 6.14565e+02 -3.00000e-02 6.14565e+02 -2.00000e-02 6.14565e+02 -1.00000e-02
6.15329e+02 -1.00000e-02 6.15329e+02 -5.00000e-02 6.15329e+02 -3.00000e-02 6.15329e+02 -2.00000e-02 6.15329e+02 -1.00000e-02
6.16092e+02 -1.00000e-02 6.16092e+02 -5.00000e-02 6.16092e+02 -3.00000e-02 6.16092e+02 -2.00000e-02 6.16092e+02 -1.00000e-02
6.16855e+02 -1.00000e-02 6.16855e+02 -5.00000e-02 6.16855e+02 -3.00000e-02 6.16855e+02 -2.00000e-02 6.16855e+02 -1.00000e-02
6.17618e+02 -1.00000e-02 6.17618e+02 -5.00000e-02 6.17618e+02 -3.00000e-02 6.17618e+02 -2.00000e-02 6.17618e+02 -1.00000e-02
6.18382e+02 -1.00000e-02 6.18382e+02 -5.00000e-02 6.18382e+02 -3.00000e-02 6.18382e+02 -2.00000e-02 6.18382e+02 -1.00000e-02
6.19145e+02 -1.00000e-02 6.19145e+02 -5.00000e-02 6.19145e+02 -3.00000e-02 6.19145e+02 -2.00000e-02 6.19145e+02 -1.00000e-02
6.19908e+02 -1.00000e-02 6.19908e+02 -5.00000e-02 6.19908e+02 -3.00000e-02 6.19908e+02 -2.00000e-02 6.19908e+02 -1.00000e-02
6.20671e+02 -1.00000e-02 6.20671e+02 -5.00000e-02 6.20671e+02 -3.00000e-02 6.20671e+02 -2.00000e-02 6.20671e+02 -1.00000e-02
6.21433e+02 -1.00000e-02 6.21433e+02 -5.00000e-02 6.21433e+02 -3.00000e-02 6.21433e+02 -2.00000e-02 6.21433e+02 -1.00000e-02
6.22196e+02 -1.00000e-02 6.22196e+02 -5.00000e-02 6.22196e+02 -3.00000e-02 6.22196e+02 -2.00000e-02 6.22196e+02 -1.00000e-02
6.22959e+02 -1.00000e-02 6.22959e+02 -5.00000e-02 6.22959e+02 -3.00000e-02 6.22959e+02 -2.00000e-02 6.22959e+02 -1.00000e-02
6.23721e+02 -1.00000e-02 6.23721e+02 -5.00000e-02 6.23721e+02 -3.00000e-02 6.23721e+02 -2.00000e-02 6.23721e+02 -1.00000e-02
6.24484e+02 -1.00000e-02 6.24484e+02 -5.00000e-02 6.24484e+02 -3.00000e-02 6.24484e+02 -2.00000e-02 6.24484e+02 -1.00000e-02
6.25246e+02 -7.77778e-03 6.25246e+02 -5.00000e-02 6.25246e+02 -3.00000e-02 6.25246e+02 -2.00000e-02 6.25246e+02 -1.00000e-02
6.26009e+02 -6.66667e-03 6.26009e+02 -5.00000e-02 6.26009e+02 -3.00000e-02 6.26009e+02 -2.00000e-02 6.26009e+02 -1.00000e-02
6.26771e+02 0.00000e+00 6.26771e+02 -5.00000e-02 6.26771e+02 -3.00000e-02 6.26771e+02 -2.00000e-02 6.26771e+02 -1.00000e-02
6.27533e+02 -1.11111e-03 6.27533e+02 -5.00000e-02 6.27533e+02 -3.00000e-02 6.27533e+02 -2.00000e-02 6.27533e+02 -1.00000e-02
6.28295e+02 -7.77778e-03 6.28295e+02 -5.00000e-02 6.28295e+02 -3.00000e-02 6.28295e+02 -2.00000e-02 6.28295e+02 -1.00000e-02
6.29057e+02 -6.66667e-03 6.29057e+02 -5.00000e-02 6.29057e+02 -3.00000e-02 6.29057e+02 -2.00000e-02 6.29057e+02 -1.00000e-02
6.29819e+02 -8.88889e-03 6.29819e+02 -5.00000e-02 6.29819e+02 -3.00000e-02 6.29819e+02 -2.00000e-02 6.29819e+02 -1.00000e-02
6.30581e+02 -7.77778e-03 6.30581e+02 -5.00000e-02 6.30581e+02 -3.00000e-02 6.30581e+02 -2.00000e-02 6.30581e+02 -1.00000e-02
6.31343e+02 -1.00000e-02 6.31343e+02 -5.00000e-02 6.31343e+02 -3.00000e-02 6.31343e+02 -2.00000e-02 6.31343e+02 -1.00000e-02
6.32104e+02 -1.00000e-02 6.32104e+02 -5.00000e-02 6.32104e+02 -3.00000e-02 6.32104e+02 -2.00000e-02 6.32104e+02 -1.00000e-02
6.32866e+02 -1.00000e-02 6.32866e+02 -5.00000e-02 6.32866e+02 -3.00000e-02 6.32866e+02 -2.00000e-02 6.32866e+02 -1.00000e-02
6.33627e+02 -1.00000e-02 6.33627e+02 -5.00000e-02 6.33627e+02 -3.00000e-02 6.33627e+02 -2.00000e-02 6.33627e+02 -8.88889e-03
6.34389e+02 -1.00000e-02 6.34389e+02 -5.00000e-02 6.34389e+02 -3.00000e-02 6.34389e+02 -2.00000e-02 6.34389e+02 -7.77778e-03
6.35150e+02 -1.00000e-02 6.35150e+02 -5.00000e-02 6.35150e+02 -3.00000e-02 6.35150e+02 -2.00000e-02 6.35150e+02 -4.44444e-03
6.35911e+02 -1.00000e-02 6.35911e+02 -5.00000e-02 6.35911e+02 -3.00000e-02 6.35911e+02 -2.00000e-02 6.35911e+02 -5.55556e-03
6.36673e+02 -8.88889e-03 6.36673e+02 -5.00000e-02 6.36673e+02 -3.00000e-02 6.36673e+02 -2.00000e-02 6.36673e+02 -4.44444e-03
6.37434e+02 -1.00000e-02 6.37434e+02 -5.00000e-02 6.37434e+02 -3.00000e-02 6.37434e+02 -2.00000e-02 6.37434e+02 -5.55556e-03
6.38195e+02 -4.44444e-03 6.38195e+02 -5.00000e-02 6.38195e+02 -3.00000e-02 6.38195e+02 -2.00000e-02 6.38195e+02 -8.88889e-03
6.38956e+02 -3.33333e-03 6.38956e+02 -5.00000e-02 6.38956e+02 -3.00000e-02 6.38956e+02 -2.00000e-02 6.38956e+02 -1.00000e-02
6.39717e+02 -6.66667e-03 6.39717e+02 -5.00000e-02 6.39717e+02 -3.00000e-02 6.39717e+02 -2.00000e-02 6.39717e+02 -1.00000e-02
6.40477e+02 -6.66667e-03 6.40477e+02 -5.00000e-02 6.40477e+02 -3.00000e-02 6.40477e+02 -2.00000e-02 6.40477e+02 -1.00000e-02
6.41238e+02 -5.55556e-03 6.41238e+02 -5.00000e-02 6.41238e+02 -3.00000e-02 6.41238e+02 -2.00000e-02 6.41238e+02 -1.00000e-02
6.41999e+02 -4.44444e-03 6.41999e+02 -5.00000e-02 6.41999e+02 -3.00000e-02 6.41999e+02 -2.00000e-02 6.41999e+02 -1.00000e-02
6.42759e+02 -1.11111e-03 6.42759e+02 -5.00000e-02 6.42759e+02 -3.00000e-02 6.42759e+02 -2.00000e-02 6.42759e+02 -1.00000e-02
6.43520e+02 -4.44444e-03 6.43520e+02 -5.00000e-02 6.43520e+02 -3.00000e-02 6.43520e+02 -2.00000e-02 6.43520e+02 -8.88889e-03
6.44280e+02 -1.11111e-03 6.44280e+02 -5.00000e-02 6.44280e+02 -3.00000e-02 6.44280e+02 -2.00000e-02 6.44280e+02 -1.00000e-02
6.45041e+02 0.00000e+00 6.45041e+02 -5.00000e-02 6.45041e+02 -3.00000e-02 6.45041e+02 -2.00000e-02 6.45041e+02 -8.88889e-03
6.45801e+02 0.00000e+00 6.45801e+02 -5.00000e-02 6.45801e+02 -3.00000e-02 6.45801e+02 -2.00000e-02 6.45801e+02 -8.88889e-03
6.46561e+02 0.00000e+00 6.46561e+02 -5.00000e-02 6.46561e+02 -3.00000e-02 6.46561e+02 -2.00000e-02 6.46561e+02 -7.77778e-03
6.47321e+02 0.00000e+00 6.47321e+02 -5.00000e-02 6.47321e+02 -3.00000e-02 6.47321e+02 -2.00000e-02 6.47321e+02 -5.55556e-03
6.48081e+02 0.00000e+00 6.48081e+02 -5.00000e-02 6.48081e+02 -3.00000e-02 6.48081e+02 -2.00000e-02 6.48081e+02 -1.00000e-02
6.48841e+02 0.00000e+00 6.48841e+02 -5.00000e-02 6.48841e+02 -3.00000e-02 6.48841e+02 -2.00000e-02 6.48841e+02 -1.00000e-02
6.49601e+02 0.00000e+00 6.49601e+02 -5.00000e-02 6.49601e+02 -3.00000e-02 6.49601e+02 -2.00000e-02 6.49601e+02 -1.00000e-02
6.50360e+02 -6.66667e-03 6.50360e+02 -5.00000e-02 6.50360e+02 -3.00000e-02 6.50360e+02 -2.00000e-02 6.50360e+02 -1.00000e-02
6.51120e+02 -8.88889e-03 6.51120e+02 -5.00000e-02 6.51120e+02 -3.00000e-02 6.51120e+02 -2.00000e-02 6.51120e+02 -1.00000e-02
6.51880e+02 -1.00000e-02 6.51880e+02 -5.00000e-02 6.51880e+02 -3.00000e-02 6.51880e+02 -2.00000e-02 6.51880e+02 -1.00000e-02
6.52639e+02 -1.00000e-02 6.52639e+02 -5.00000e-02 6.52639e+02 -3.00000e-02 6.52639e+02 -2.00000e-02 6.52639e+02 -1.00000e-02
6.53399e+02 -1.00000e-02 6.53399e+02 -5.00000e-02 6.53399e+02 -3.00000e-02 6.53399e+02 -2.00000e-02 6.53399e+02 -1.00000e-02
6.54158e+02 -1.00000e-02 6.54158e+02 -5.00000e-02 6.54158e+02 -3.00000e-02 6.54158e+02 -2.00000e-02 6.54158e+02 -1.00000e-02
6.54917e+02 -1.00000e-02 6.54917e+02 -5.00000e-02 6.54917e+02 -3.00000e-02 6.54917e+02 -2.00000e-02 6.54917e+02 -1.00000e-02
6.55676e+02 -8.88889e-03 6.55676e+02 -5.00000e-02 6.55676e+02 -3.00000e-02 6.55676e+02 -2.00000e-02 6.55676e+02 -1.00000e-02
6.56435e+02 -8.88889e-03 6.56435e+02 -5.00000e-02 6.56435e+02 -3.00000e-02 6.56435e+02 -2.00000e-02 6.56435e+02 -1.00000e-02
6.57194e+02 -8.88889e-03 6.57194e+02 -5.00000e-02 6.57194e+02 -3.00000e-02 6.57194e+02 -2.00000e-02 6.57194e+02 -1.00000e-02
6.57953e+02 -6.66667e-03 6.57953e+02 -5.00000e-02 6.57953e+02 -3.00000e-02 6.57953e+02 -2.00000e-02 6.57953e+02 -1.00000e-02
6.58712e+02 -8.88889e-03 6.58712e+02 -5.00000e-02 6.58712e+02 -3.00000e-02 6.58712e+02 -2.00000e-02 6.58712e+02 -1.00000e-02
6.59471e+02 -1.00000e-02 6.59471e+02 -5.00000e-02 6.59471e+02 -3.00000e-02 6.59471e+02 -2.00000e-02 6.59471e+02 -1.00000e-02
6.60230e+02 -1.00000e-02 6.60230e+02 -5.00000e-02 6.60230e+02 -3.00000e-02 6.60230e+02 -2.00000e-02 6.60230e+02 -1.00000e-02
6.60988e+02 -1.00000e-02 6.60988e+02 -5.00000e-02 6.60988e+02 -3.00000e-02 6.60988e+02 -2.00000e-02 6.60988e+02 -1.00000e-02
6.61747e+02 -1.00000e-02 6.61747e+02 -5.00000e-02 6.61747e+02 -3.00000e-02 6.61747e+02 -2.00000e-02 6.61747e+02 -1.00000e-02
6.62505e+02 -1.00000e-02 6.62505e+02 -5.00000e-02 6.62505e+02 -3.00000e-02 6.62505e+02 -2.00000e-02 6.62505e+02 -1.00000e-02
6.63264e+02 -1.00000e-02 6.63264e+02 -5.00000e-02 6.63264e+02 -3.00000e-02 6.63264e+02 -2.00000e-02 6.63264e+02 -1.00000e-02
6.64022e+02 -1.00000e-02 6.64022e+02 -5.00000e-02 6.64022e+02 -3.00000e-02 6.64022e+02 -2.00000e-02 6.64022e+02 -1.00000e-02
6.64780e+02 -8.88889e-03 6.64780e+02 -5.00000e-02 6.64780e+02 -3.00000e-02 6.64780e+02 -2.00000e-02 6.64780e+02 -1.00000e-02
6.65538e+02 -8.88889e-03 6.65538e+02 -5.00000e-02 6.65538e+02 -3.00000e-02 6.65538e+02 -2.00000e-02 6.65538e+02 -8.88889e-03
6.66296e+02 -7.77778e-03 6.66296e+02 -5.00000e-02 6.66296e+02 -3.00000e-02 6.66296e+02 -2.00000e-02 6.66296e+02 -8.88889e-03
6.67054e+02 -7.77778e-03 6.67054e+02 -5.00000e-02 6.67054e+02 -3.00000e-02 6.67054e+02 -2.00000e-02 6.67054e+02 -8.88889e-03
6.67812e+02 -3.33333e-03 6.67812e+02 -5.00000e-02 6.67812e+02 -3.00000e-02 6.67812e+02 -2.00000e-02 6.67812e+02 -6.66667e-03
6.68570e+02 -3.33333e-03 6.68570e+02 -5.00000e-02 6.68570e+02 -3.00000e-02 6.68570e+02 -2.00000e-02 6.68570e+02 -6.66667e-03
6.69327e+02 -1.11111e-03 6.69327e+02 -5.00000e-02 6.69327e+02 -3.00000e-02 6.69327e+02 -2.00000e-02 6.69327e+02 -6.66667e-03
6.70085e+02 -2.22222e-03 6.70085e+02 -5.00000e-02 6.70085e+02 -3.00000e-02 6.70085e+02 -2.00000e-02 6.70085e+02 -6.66667e-03
6.70843e+02 -2.22222e-03 6.70843e+02 -5.00000e-02 6.70843e+02 -3.00000e-02 6.70843e+02 -2.00000e-02 6.70843e+02 -4.44444e-03
6.71600e+02 0.00000e+00 6.71600e+02 -5.00000e-02 6.71600e+02 -3.00000e-02 6.71600e+02 -2.00000e-02 6.71600e+02 -5.55556e-03
6.72357e+02 -2.22222e-03 6.72357e+02 -5.00000e-02 6.72357e+02 -3.00000e-02 6.72357e+02 -2.00000e-02 6.72357e+02 -7.77778e-03
6.73115e+02 -1.11111e-03 6.73115e+02 -5.00000e-02 6.73115e+02 -3.00000e-02 6.73115e+02 -2.00000e-02 6.73115e+02 -8.88889e-03
6.73872e+02 -1.11111e-03 6.73872e+02 -5.00000e-02 6.73872e+02 -3.00000e-02 6.73872e+02 -2.00000e-02 6.73872e+02 -7.77778e-03
6.74629e+02 -1.11111e-03 6.74629e+02 -5.00000e-02 6.74629e+02 -3.00000e-02 6.74629e+02 -2.00000e-02 6.74629e+02 -1.00000e-02
6.75386e+02 0.00000e+00 6.75386e+02 -5.00000e-02 6.75386e+02 -3.00000e-02 6.75386e+02 -2.00000e-02 6.75386e+02 -5.55556e-03
6.76143e+02 -2.22222e-03 6.76143e+02 -5.00000e-02 6.76143e+02 -3.00000e-02 6.76143e+02 -2.00000e-02 6.76143e+02 -7.77778e-03
6.76900e+02 -1.11111e-03 6.76900e+02 -5.00000e-02 6.76900e+02 -3.00000e-02 6.76900e+02 -2.00000e-02 6.76900e+02 -7.77778e-03
6.77657e+02 0.00000e+00 6.77657e+02 -5.00000e-02 6.77657e+02 -3.00000e-02 6.77657e+02 -2.00000e-02 6.77657e+02 -6.66667e-03
6.78413e+02 -1.11111e-03 6.78413e+02 -5.00000e-02 6.78413e+02 -3.00000e-02 6.78413e+02 -2.00000e-02 6.78413e+02 -1.00000e-02
6.79170e+02 -1.11111e-03 6.79170e+02 -5.00000e-02 6.79170e+02 -3.00000e-02 6.79170e+02 -2.00000e-02 6.79170e+02 -1.00000e-02
6.79927e+02 -1.11111e-03 6.79927e+02 -5.00000e-02 6.79927e+02 -3.00000e-02 6.79927e+02 -2.00000e-02 6.79927e+02 -1.00000e-02
6.80683e+02 -3.33333e-03 6.80683e+02 -5.00000e-02 6.80683e+02 -3.00000e-02 6.80683e+02 -2.00000e-02 6.80683e+02 -1.00000e-02
6.81439e+02 -2.22222e-03 6.81439e+02 -5.00000e-02 6.81439e+02 -3.00000e-02 6.81439e+02 -2.00000e-02 6.81439e+02 -1.00000e-02
6.82196e+02 -4.44444e-03 6.82196e+02 -5.00000e-02 6.82196e+02 -3.00000e-02 6.82196e+02 -2.00000e-02 6.82196e+02 -1.00000e-02
6.82952e+02 -6.66667e-03 6.82952e+02 -5.00000e-02 6.82952e+02 -3.00000e-02 6.82952e+02 -2.00000e-02 6.82952e+02 -1.00000e-02
6.83708e+02 -4.44444e-03 6.83708e+02 -5.00000e-02 6.83708e+02 -3.00000e-02 6.83708e+02 -2.00000e-02 6.83708e+02 -1.00000e-02
6.84464e+02 -3.33333e-03 6.84464e+02 -5.00000e-02 6.84464e+02 -3.00000e-02 6.84464e+02 -2.00000e-02 6.84464e+02 -1.00000e-02
6.85220e+02 -4.44444e-03 6.85220e+02 -5.00000e-02 6.85220e+02 -3.00000e-02 6.85220e+02 -2.00000e-02 6.85220e+02 -1.00000e-02
6.85976e+02 0.00000e+00 6.85976e+02 -5.00000e-02 6.85976e+02 -3.00000e-02 6.85976e+02 -2.00000e-02 6.85976e+02 -1.00000e-02
6.86732e+02 0.00000e+00 6.86732e+02 -5.00000e-02 6.86732e+02 -3.00000e-02 6.86732e+02 -2.00000e-02 6.86732e+02 -1.00000e-02
6.87488e+02 0.00000e+00 6.87488e+02 -5.00000e-02 6.87488e+02 -3.00000e-02 6.87488e+02 -2.00000e-02 6.87488e+02 -1.00000e-02
6.88243e+02 0.00000e+00 6.88243e+02 -5.00000e-02 6.88243e+02 -3.00000e-02 6.88243e+02 -2.00000e-02 6.88243e+02 -1.00000e-02
6.88999e+02 0.00000e+00 6.88999e+02 -5.00000e-02 6.88999e+02 -3.00000e-02 6.88999e+02 -2.00000e-02 6.88999e+02 -1.00000e-02
6.89754e+02 0.00000e+00 6.89754e+02 -5.00000e-02 6.89754e+02 -3.00000e-02 6.89754e+02 -2.00000e-02 6.89754e+02 -1.00000e-02
6.90510e+02 0.00000e+00 6.90510e+02 -5.00000e-02 6.90510e+02 -3.00000e-02 6.90510e+02 -2.00000e-02 6.90510e+02 -1.00000e-02
6.91265e+02 0.00000e+00 6.91265e+02 -5.00000e-02 6.91265e+02 -3.00000e-02 6.91265e+02 -2.00000e-02 6.91265e+02 -1.00000e-02
6.92020e+02 0.00000e+00 6.92020e+02 -5.00000e-02 6.92020e+02 -3.00000e-02 6.92020e+02 -2.00000e-02 6.92020e+02 -1.00000e-02
6.92775e+02 0.00000e+00 6.92775e+02 -5.00000e-02 6.92775e+02 -3.00000e-02 6.92775e+02 -2.00000e-02 6.92775e+02 -1.00000e-02
6.93530e+02 0.00000e+00 6.93530e+02 -5.00000e-02 6.93530e+02 -3.00000e-02 6.93530e+02 -2.00000e-02 6.93530e+02 -1.00000e-02
6.94285e+02 0.00000e+00 6.94285e+02 -5.00000e-02 6.94285e+02 -3.00000e-02 6.94285e+02 -2.00000e-02 6.94285e+02 -1.00000e-02
6.95040e+02 0.00000e+00 6.95040e+02 -5.00000e-02 6.95040e+02 -3.00000e-02 6.95040e+02 -2.00000e-02 6.95040e+02 -1.00000e-02
6.95795e+02 0.00000e+00 6.95795e+02 -5.00000e-02 6.95795e+02 -3.00000e-02 6.95795e+02 -2.00000e-02 6.95795e+02 -1.00000e-02
6.96550e+02 0.00000e+00 6.96550e+02 -5.00000e-02 6.96550e+02 -3.00000e-02 6.96550e+02 -2.00000e-02 6.96550e+02 -1.00000e-02
6.97304e+02 0.00000e+00 6.97304e+02 -5.00000e-02 6.97304e+02 -3.00000e-02 6.97304e+02 -2.00000e-02 6.97304e+02 -1.00000e-02
6.98059e+02 0.00000e+00 6.98059e+02 -5.00000e-02 6.98059e+02 -3.00000e-02 6.98059e+02 -2.00000e-02 6.98059e+02 -1.00000e-02
6.98813e+02 0.00000e+00 6.98813e+02 -5.00000e-02 6.98813e+02 -3.00000e-02 6.98813e+02 -2.00000e-02 6.98813e+02 -1.00000e-02
6.99568e+02 0.00000e+00 6.99568e+02 -5.00000e-02 6.99568e+02 -3.00000e-02 6.99568e+02 -2.00000e-02 6.99568e+02 -1.00000e-02
7.00322e+02 0.00000e+00 7.00322e+02 -5.00000e-02 7.00322e+02 -3.00000e-02 7.00322e+02 -2.00000e-02 7.00322e+02 -1.00000e-02
7.01076e+02 -3.33333e-03 7.01076e+02 -5.00000e-02 7.01076e+02 -3.00000e-02 7.01076e+02 -2.00000e-02 7.01076e+02 -1.00000e-02
7.01831e+02 -6.66667e-03 7.01831e+02 -5.00000e-02 7.01831e+02 -3.00000e-02 7.01831e+02 -2.00000e-02 7.01831e+02 -1.00000e-02
7.02585e+02 -1.00000e-02 7.02585e+02 -5.00000e-02 7.02585e+02 -3.00000e-02 7.02585e+02 -2.00000e-02 7.02585e+02 -1.00000e-02
7.03339e+02 -1.00000e-02 7.03339e+02 -5.00000e-02 7.03339e+02 -3.00000e-02 7.03339e+02 -2.00000e-02 7.03339e+02 -1.00000e-02
7.04092e+02 -1.00000e-02 7.04092e+02 -5.00000e-02 7.04092e+02 -3.00000e-02 7.04092e+02 -2.00000e-02 7.04092e+02 -1.00000e-02
7.04846e+02 -1.00000e-02 7.04846e+02 -5.00000e-02 7.04846e+02 -3.00000e-02 7.04846e+02 -2.00000e-02 7.04846e+02 -1.00000e-02
7.05600e+02 -1.00000e-02 7.05600e+02 -5.00000e-02 7.05600e+02 -3.00000e-02 7.05600e+02 -2.00000e-02 7.05600e+02 -1.00000e-02
7.06354e+02 -1.00000e-02 7.06354e+02 -5.00000e-02 7.06354e+02 -3.00000e-02 7.06354e+02 -2.00000e-02 7.06354e+02 -1.00000e-02
7.07107e+02 -1.00000e-02 7.07107e+02 -5.00000e-02 7.07107e+02 -3.00000e-02 7.07107e+02 -2.00000e-02 7.07107e+02 -1.00000e-02
7.07861e+02 -1.00000e-02 7.07861e+02 -5.00000e-02 7.07861e+02 -3.00000e-02 7.07861e+02 -2.00000e-02 7.07861e+02 -1.00000e-02
7.08614e+02 -1.00000e-02 7.08614e+02 -5.00000e-02 7.08614e+02 -3.00000e-02 7.08614e+02 -2.00000e-02 7.08614e+02 -1.00000e-02
7.09367e+02 -1.00000e-02 7.09367e+02 -5.00000e-02 7.09367e+02 -3.00000e-02 7.09367e+02 -2.00000e-02 7.09367e+02 -1.00000e-02
7.10121e+02 -8.88889e-03 7.10121e+02 -5.00000e-02 7.10121e+02 -3.00000e-02 7.10121e+02 -2.00000e-02 7.10121e+02 -1.00000e-02
7.10874e+02 -5.55556e-03 7.10874e+02 -5.00000e-02 7.10874e+02 -3.00000e-02 7.10874e+02 -2.00000e-02 7.10874e+02 -1.00000e-02
7.11627e+02 -1.11111e-03 7.11627e+02 -5.00000e-02 7.11627e+02 -3.00000e-02 7.11627e+02 -2.00000e-02 7.11627e+02 -4.44444e-03
7.12380e+02 0.00000e+00 7.12380e+02 -5.00000e-02 7.12380e+02 -3.00000e-02 7.12380e+02 -2.00000e-02 7.12380e+02 -3.33333e-03
7.13133e+02 0.00000e+00 7.13133e+02 -5.00000e-02 7.13133e+02 -3.00000e-02 7.13133e+02 -2.00000e-02 7.13133e+02 -6.66667e-03
7.13886e+02 0.00000e+00 7.13886e+02 -5.00000e-02 7.13886e+02 -3.00000e-02 7.13886e+02 -2.00000e-02 7.13886e+02 -1.00000e-02
7.14638e+02 0.00000e+00 7.14638e+02 -5.00000e-02 7.14638e+02 -3.00000e-02 7.14638e+02 -2.00000e-02 7.14638e+02 -1.00000e-02
7.15391e+02 0.00000e+00 7.15391e+02 -5.00000e-02 7.15391e+02 -3.00000e-02 7.15391e+02 -2.00000e-02 7.15391e+02 -1.00000e-02
